"Start Time (GMT)","End Time (GMT)","Service","Value"
"153/07:24:30","153/08:02:11","S AVAIL","true"
"153/07:26:34","153/08:02:11","KU AVAIL","true"
"153/08:02:31","153/08:45:40","KU AVAIL","true"
"153/08:02:31","153/08:45:40","S AVAIL","true"
"153/08:46:00","153/09:01:44","KU AVAIL","true"
"153/08:46:00","153/09:01:44","S AVAIL","true"
"153/09:02:04","153/09:38:39","KU AVAIL","true"
"153/09:02:04","153/09:38:39","S AVAIL","true"
"153/09:38:59","153/10:23:42","KU AVAIL","true"
"153/09:38:59","153/10:23:42","S AVAIL","true"
"153/10:24:02","153/10:38:24","KU AVAIL","true"
"153/10:24:02","153/10:38:24","S AVAIL","true"
"153/10:38:44","153/11:20:28","KU AVAIL","true"
"153/10:38:44","153/11:20:28","S AVAIL","true"
"153/11:20:48","153/12:00:00","S AVAIL","true"
"153/11:21:06","153/11:56:06","KU AVAIL","true"
"153/12:00:20","153/12:19:54","KU AVAIL","true"
"153/12:00:20","153/12:19:54","S AVAIL","true"
"153/12:20:14","153/12:59:29","KU AVAIL","true"
"153/12:20:14","153/12:59:29","S AVAIL","true"
"153/12:59:49","153/13:40:25","KU AVAIL","true"
"153/12:59:49","153/13:34:41","S AVAIL","true"
"153/13:35:44","153/13:40:25","S AVAIL","true"
"153/13:53:06","153/14:34:00","S AVAIL","true"
"153/14:01:58","153/14:34:00","KU AVAIL","true"
"153/14:34:20","153/15:20:00","KU AVAIL","true"
"153/14:37:47","153/15:12:02","S AVAIL","true"
"153/15:37:17","153/16:02:45","S AVAIL","true"
"153/15:43:54","153/16:06:35","KU AVAIL","true"
"153/16:08:53","153/16:10:14","KU AVAIL","true"
"153/16:09:12","153/16:52:51","S AVAIL","true"
"153/16:11:20","153/16:52:51","KU AVAIL","true"
"153/16:53:11","153/17:21:30","KU AVAIL","true"
"153/16:53:11","153/17:21:30","S AVAIL","true"
"153/17:21:50","153/17:58:27","KU AVAIL","true"
"153/17:21:50","153/17:58:27","S AVAIL","true"
"153/17:58:47","153/18:36:28","KU AVAIL","true"
"153/17:58:47","153/18:36:28","S AVAIL","true"
"153/18:36:48","153/19:02:53","KU AVAIL","true"
"153/18:36:48","153/19:02:53","S AVAIL","true"
"153/19:03:13","153/19:38:00","KU AVAIL","true"
"153/19:03:13","153/19:40:40","S AVAIL","true"
"153/19:41:00","153/20:16:38","KU AVAIL","true"
"153/19:41:50","153/20:16:38","S AVAIL","true"
"153/20:33:08","153/21:14:18","S AVAIL","true"
"153/20:39:36","153/21:14:18","KU AVAIL","true"
"153/21:14:38","153/22:01:38","S AVAIL","true"
"153/21:19:44","153/21:55:20","KU AVAIL","true"
"153/22:03:49","153/22:04:50","S AVAIL","true"
"153/22:09:36","153/22:57:02","KU AVAIL","true"
"153/22:17:27","153/22:57:02","S AVAIL","true"
"153/22:57:22","153/23:38:36","KU AVAIL","true"
"153/22:57:22","153/23:37:33","S AVAIL","true"
"153/23:47:25","153/23:49:06","KU AVAIL","true"
"153/23:47:53","153/23:49:04","S AVAIL","true"
"153/23:49:31","154/00:29:57","KU AVAIL","true"
"153/23:51:10","154/00:29:57","S AVAIL","true"
"154/00:30:17","154/01:14:42","S AVAIL","true"
"154/00:30:38","154/01:14:42","KU AVAIL","true"
"154/01:29:44","154/01:31:05","KU AVAIL","true"
"154/01:29:54","154/02:11:09","S AVAIL","true"
"154/01:32:07","154/02:11:09","KU AVAIL","true"
"154/02:11:29","154/02:54:06","KU AVAIL","true"
"154/02:11:29","154/02:54:43","S AVAIL","true"
"154/03:12:04","154/03:55:41","KU AVAIL","true"
"154/03:12:20","154/03:13:33","S AVAIL","true"
"154/03:18:50","154/03:55:41","S AVAIL","true"
"154/03:56:01","154/04:36:33","KU AVAIL","true"
"154/03:56:01","154/04:36:57","S AVAIL","true"
"154/04:54:04","154/04:57:48","S AVAIL","true"
"154/05:00:21","154/05:32:19","S AVAIL","true"
"154/05:00:50","154/05:32:19","KU AVAIL","true"
"154/05:32:39","154/06:18:18","KU AVAIL","true"
"154/05:32:39","154/06:18:26","S AVAIL","true"
"154/06:29:15","154/07:13:06","S AVAIL","true"
"154/06:38:29","154/07:13:06","KU AVAIL","true"
"154/07:13:26","154/07:24:48","S AVAIL","true"
"154/07:14:04","154/07:50:03","KU AVAIL","true"
"154/07:50:23","154/08:13:19","KU AVAIL","true"
"154/07:50:23","154/08:13:19","S AVAIL","true"
"154/08:13:39","154/08:50:56","KU AVAIL","true"
"154/08:13:39","154/08:50:56","S AVAIL","true"
"154/08:51:16","154/09:35:58","KU AVAIL","true"
"154/08:51:16","154/09:35:58","S AVAIL","true"
"154/09:36:18","154/09:49:52","KU AVAIL","true"
"154/09:36:18","154/09:49:52","S AVAIL","true"
"154/09:50:12","154/10:32:29","KU AVAIL","true"
"154/09:50:12","154/10:32:29","S AVAIL","true"
"154/10:32:49","154/11:11:20","S AVAIL","true"
"154/10:33:08","154/11:08:31","KU AVAIL","true"
"154/11:11:40","154/11:30:40","KU AVAIL","true"
"154/11:11:40","154/11:30:40","S AVAIL","true"
"154/11:31:00","154/12:10:57","KU AVAIL","true"
"154/11:31:00","154/12:10:57","S AVAIL","true"
"154/12:11:17","154/12:45:32","KU AVAIL","true"
"154/12:11:17","154/12:45:32","S AVAIL","true"
"154/12:45:52","154/13:12:39","S AVAIL","true"
"154/12:50:10","154/13:12:39","KU AVAIL","true"
"154/13:12:59","154/13:51:32","KU AVAIL","true"
"154/13:12:59","154/13:51:32","S AVAIL","true"
"154/13:51:52","154/14:23:35","KU AVAIL","true"
"154/13:51:52","154/14:23:35","S AVAIL","true"
"154/14:23:55","154/14:30:47","KU AVAIL","true"
"154/14:23:55","154/14:25:35","S AVAIL","true"
"154/14:26:38","154/14:30:47","S AVAIL","true"
"154/14:31:07","154/14:55:05","KU AVAIL","true"
"154/14:31:07","154/14:55:05","S AVAIL","true"
"154/14:55:25","154/15:28:35","KU AVAIL","true"
"154/14:55:25","154/15:28:35","S AVAIL","true"
"154/15:28:55","154/16:03:22","KU AVAIL","true"
"154/15:28:55","154/16:03:22","S AVAIL","true"
"154/16:03:42","154/16:33:18","KU AVAIL","true"
"154/16:03:42","154/16:33:18","S AVAIL","true"
"154/16:33:38","154/17:09:13","KU AVAIL","true"
"154/16:33:38","154/17:09:13","S AVAIL","true"
"154/17:09:33","154/17:46:28","KU AVAIL","true"
"154/17:09:33","154/17:46:28","S AVAIL","true"
"154/17:46:48","154/18:16:39","KU AVAIL","true"
"154/17:46:48","154/18:16:39","S AVAIL","true"
"154/18:16:59","154/18:53:22","KU AVAIL","true"
